intent,user_input,response
personagem,me responde aí: quem é o Levi?,Claro! Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
comparacao,NARUTO É MELHOR QUE ONE PIECE?,Claro! Isso varia muito do gosto de cada fã.
recomendacao,mano quero um anime triste,Your Lie in April costuma emocionar bastante. Curte esse tipo?
saudacao,me responde aí: oi,Oi! Como posso ajudar sobre animes hoje? Curte esse tipo?
curiosidade,QUAL ANIME MAIS LONGO?,Claro! Sazae-san é considerado o anime mais longo da história.
comparacao,Qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. 😊
comparacao,qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Posso recomendar mais.
saudacao,me responde aí: eae,Fala! Curte anime também?
poderes,Qual o poder do goku?,Goku utiliza o Ki e diversas transformações Saiyajin. Curte esse tipo?
recomendacao,me responde aí: me recomenda um anime de ação,Você pode gostar de Attack on Titan. Curte esse tipo?
personagem,quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto.
comparacao,QUEM VENCE GOKU OU NARUTO?,Claro! Depende das regras da comparação e do universo.
comparacao,Quem vence goku ou naruto?,Depende das regras da comparação e do universo. Curte esse tipo?
despedida,até logo,Claro! Até logo! Espero que encontre um anime incrível.
personagem,me responde aí: quem é o Gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
recomendacao,ANIME ENGRAÇADO,Spy x Family é uma ótima escolha. 😊
curiosidade,quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. Posso recomendar mais.
comparacao,Naruto é melhor que one piece?,Isso varia muito do gosto de cada fã. Curte esse tipo?
recomendacao,Quero um anime triste,Your Lie in April costuma emocionar bastante. Curte esse tipo?
saudacao,Oi,Oi! Como posso ajudar sobre animes hoje? Curte esse tipo?
curiosidade,qual anime mais longo??,Sazae-san é considerado o anime mais longo da história.
comparacao,QUAL ANIME É MAIS FAMOSO?,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
episodios,QUANTOS EPISÓDIOS TEM NARUTO?,Claro! Naruto clássico possui 220 episódios.
recomendacao,Me recomenda um anime de ação,Você pode gostar de Attack on Titan.
saudacao,bom dia,Bom dia! Quer conversar sobre qual anime? 😊
despedida,até logo,Claro! Até logo! Espero que encontre um anime incrível.
recomendacao,ANIME ENGRAÇADO,Spy x Family é uma ótima escolha. Curte esse tipo?
episodios,quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. Posso recomendar mais.
despedida,mano até logo,Claro! Até logo! Espero que encontre um anime incrível.
recomendacao,me responde aí: quero um anime triste,Your Lie in April costuma emocionar bastante.
curiosidade,qual anime mais longo?,Claro! Sazae-san é considerado o anime mais longo da história.
comparacao,QUAL ANIME É MAIS FAMOSO?,One Piece e Dragon Ball estão entre os mais populares. 😊
curiosidade,mano qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares. Curte esse tipo?
despedida,Tchau,Até mais! Bons episódios pra você.
episodios,quantos episódios tem Naruto??,Naruto clássico possui 220 episódios. 😊
episodios,mano quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes. 😊
despedida,mano tchau,Até mais! Bons episódios pra você. Posso recomendar mais.
curiosidade,mano quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. Curte esse tipo?
comparacao,qual anime é mais famoso??,One Piece e Dragon Ball estão entre os mais populares. Posso recomendar mais.
episodios,quantos episódios tem Naruto??,Naruto clássico possui 220 episódios. 😊
despedida,me responde aí: tchau,Até mais! Bons episódios pra você. Posso recomendar mais.
saudacao,me responde aí: bom dia,Bom dia! Quer conversar sobre qual anime? Curte esse tipo?
despedida,FALOU,Falou! Depois voltamos ao mundo dos animes. Posso recomendar mais.
poderes,O QUE É BANKAI?,Bankai é a forma avançada da espada dos shinigamis em Bleach.
despedida,mano falou,Falou! Depois voltamos ao mundo dos animes. Curte esse tipo?
poderes,o que é sharingan?,Claro! Sharingan é uma habilidade ocular do clã Uchiha.
episodios,Quantos eps tem demon slayer?,Demon Slayer possui várias temporadas e filmes.
personagem,me responde aí: quem é o Gojo?,Claro! Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
personagem,mano quem é o Levi?,Claro! Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
saudacao,me responde aí: bom dia,Bom dia! Quer conversar sobre qual anime? Curte esse tipo?
recomendacao,Quero um anime triste,Your Lie in April costuma emocionar bastante. Curte esse tipo?
recomendacao,mano quero um anime triste,Your Lie in April costuma emocionar bastante. Posso recomendar mais.
poderes,o que é sharingan??,Sharingan é uma habilidade ocular do clã Uchiha. Curte esse tipo?
curiosidade,qual anime mais longo??,Sazae-san é considerado o anime mais longo da história. Posso recomendar mais.
personagem,QUEM É O LEVI?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Posso recomendar mais.
comparacao,QUEM VENCE GOKU OU NARUTO?,Depende das regras da comparação e do universo.
recomendacao,me recomenda um anime de ação?,Você pode gostar de Attack on Titan. Posso recomendar mais.
recomendacao,me recomenda um anime de ação?,Você pode gostar de Attack on Titan. Posso recomendar mais.
despedida,Falou,Falou! Depois voltamos ao mundo dos animes. 😊
saudacao,EAE,Fala! Curte anime também?
comparacao,NARUTO É MELHOR QUE ONE PIECE?,Claro! Isso varia muito do gosto de cada fã.
curiosidade,QUAL FOI O PRIMEIRO ANIME?,Claro! Astro Boy foi um dos primeiros animes populares.
saudacao,me responde aí: eae,Fala! Curte anime também? 😊
saudacao,oi,Oi! Como posso ajudar sobre animes hoje? 😊
curiosidade,mano qual foi o primeiro anime?,Claro! Astro Boy foi um dos primeiros animes populares.
personagem,mano quem é o Gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. Curte esse tipo?
saudacao,oi?,Oi! Como posso ajudar sobre animes hoje? Curte esse tipo?
curiosidade,Quem criou naruto?,Naruto foi criado por Masashi Kishimoto. 😊
curiosidade,qual foi o primeiro anime??,Astro Boy foi um dos primeiros animes populares. 😊
recomendacao,me responde aí: me recomenda um anime de ação,Você pode gostar de Attack on Titan. Posso recomendar mais.
recomendacao,Quero um anime triste,Your Lie in April costuma emocionar bastante. 😊
episodios,quantos eps tem Demon Slayer?,Claro! Demon Slayer possui várias temporadas e filmes.
recomendacao,me responde aí: me recomenda um anime de ação,Você pode gostar de Attack on Titan. 😊
recomendacao,quero um anime triste,Your Lie in April costuma emocionar bastante. 😊
episodios,ONE PIECE ACABOU?,"Não, One Piece ainda está em exibição. Posso recomendar mais."
personagem,QUEM É O NARUTO?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
poderes,qual o poder do Goku??,Goku utiliza o Ki e diversas transformações Saiyajin. 😊
despedida,tchau,Até mais! Bons episódios pra você. Posso recomendar mais.
personagem,QUEM É O NARUTO?,Naruto Uzumaki é o protagonista do anime Naruto.
saudacao,eae,Fala! Curte anime também? Posso recomendar mais.
saudacao,oi,Oi! Como posso ajudar sobre animes hoje? Curte esse tipo?
personagem,quem é o Levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. 😊
episodios,quantos episódios tem Naruto??,Naruto clássico possui 220 episódios. Curte esse tipo?
despedida,me responde aí: até logo,Até logo! Espero que encontre um anime incrível.
curiosidade,quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. Curte esse tipo?
episodios,Quantos episódios tem naruto?,Naruto clássico possui 220 episódios. 😊
episodios,me responde aí: One Piece acabou?,"Não, One Piece ainda está em exibição. Curte esse tipo?"
poderes,me responde aí: qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin.
recomendacao,me responde aí: quero um anime triste,Your Lie in April costuma emocionar bastante. Posso recomendar mais.
comparacao,quem vence Goku ou Naruto??,Depende das regras da comparação e do universo. Posso recomendar mais.
despedida,mano até logo,Até logo! Espero que encontre um anime incrível. Posso recomendar mais.
saudacao,eae?,Fala! Curte anime também? Posso recomendar mais.
recomendacao,Me recomenda um anime de ação,Você pode gostar de Attack on Titan. Curte esse tipo?
poderes,o que é sharingan??,Sharingan é uma habilidade ocular do clã Uchiha. Posso recomendar mais.
episodios,ONE PIECE ACABOU?,"Claro! Não, One Piece ainda está em exibição."
recomendacao,mano quero um anime triste,Your Lie in April costuma emocionar bastante. 😊
poderes,qual o poder do Goku??,Goku utiliza o Ki e diversas transformações Saiyajin. Curte esse tipo?
personagem,me responde aí: quem é o Naruto?,Claro! Naruto Uzumaki é o protagonista do anime Naruto.
curiosidade,quem criou Naruto??,Naruto foi criado por Masashi Kishimoto. Curte esse tipo?
comparacao,mano qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
recomendacao,me recomenda um anime de ação?,Você pode gostar de Attack on Titan. Curte esse tipo?
saudacao,bom dia,Bom dia! Quer conversar sobre qual anime? Posso recomendar mais.
episodios,quantos eps tem Demon Slayer??,Demon Slayer possui várias temporadas e filmes. Curte esse tipo?
comparacao,me responde aí: quem vence Goku ou Naruto?,Depende das regras da comparação e do universo. Posso recomendar mais.
despedida,até logo?,Até logo! Espero que encontre um anime incrível. 😊
curiosidade,me responde aí: qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares. 😊
saudacao,OI,Claro! Oi! Como posso ajudar sobre animes hoje?
comparacao,Quem vence goku ou naruto?,Depende das regras da comparação e do universo. Curte esse tipo?
poderes,mano qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. 😊
comparacao,mano qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. 😊
despedida,falou?,Claro! Falou! Depois voltamos ao mundo dos animes.
recomendacao,ANIME ENGRAÇADO,Claro! Spy x Family é uma ótima escolha.
personagem,quem é o Gojo??,Claro! Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
poderes,O QUE É BANKAI?,Bankai é a forma avançada da espada dos shinigamis em Bleach. Curte esse tipo?
personagem,quem é o Gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. Posso recomendar mais.
curiosidade,mano quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. 😊
comparacao,mano quem vence Goku ou Naruto?,Depende das regras da comparação e do universo. Posso recomendar mais.
despedida,Tchau,Claro! Até mais! Bons episódios pra você.
episodios,One Piece acabou?,"Não, One Piece ainda está em exibição. Posso recomendar mais."
comparacao,mano quem vence Goku ou Naruto?,Claro! Depende das regras da comparação e do universo.
personagem,mano quem é o Gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. Posso recomendar mais.
comparacao,Naruto é melhor que one piece?,Isso varia muito do gosto de cada fã. Curte esse tipo?
episodios,mano quantos eps tem Demon Slayer?,Claro! Demon Slayer possui várias temporadas e filmes.
personagem,QUEM É O LEVI?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Curte esse tipo?
personagem,Quem é o naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Curte esse tipo?
episodios,mano quantos episódios tem Naruto?,Claro! Naruto clássico possui 220 episódios.
despedida,TCHAU,Até mais! Bons episódios pra você. Curte esse tipo?
comparacao,mano Naruto é melhor que One Piece?,Isso varia muito do gosto de cada fã. 😊
recomendacao,quero um anime triste,Your Lie in April costuma emocionar bastante. Posso recomendar mais.
personagem,quem é o Naruto?,Claro! Naruto Uzumaki é o protagonista do anime Naruto.
personagem,QUEM É O GOJO?,Claro! Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
poderes,me responde aí: o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. Curte esse tipo?
personagem,quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto.
comparacao,QUEM VENCE GOKU OU NARUTO?,Depende das regras da comparação e do universo. Curte esse tipo?
personagem,mano quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto.
curiosidade,quem criou Naruto?,Naruto foi criado por Masashi Kishimoto.
poderes,o que é sharingan??,Sharingan é uma habilidade ocular do clã Uchiha.
recomendacao,mano anime engraçado,Claro! Spy x Family é uma ótima escolha.
recomendacao,mano me recomenda um anime de ação,Você pode gostar de Attack on Titan. Curte esse tipo?
despedida,me responde aí: falou,Claro! Falou! Depois voltamos ao mundo dos animes.
episodios,mano quantos episódios tem Naruto?,Naruto clássico possui 220 episódios.
personagem,quem é o Levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. 😊
episodios,me responde aí: One Piece acabou?,"Não, One Piece ainda está em exibição. 😊"
episodios,One Piece acabou??,"Claro! Não, One Piece ainda está em exibição."
personagem,Quem é o levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
personagem,quem é o Levi??,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Posso recomendar mais.
curiosidade,Quem criou naruto?,Naruto foi criado por Masashi Kishimoto.
poderes,me responde aí: o que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha. 😊
curiosidade,QUAL FOI O PRIMEIRO ANIME?,Astro Boy foi um dos primeiros animes populares.
despedida,até logo?,Claro! Até logo! Espero que encontre um anime incrível.
personagem,mano quem é o Gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
recomendacao,me responde aí: me recomenda um anime de ação,Você pode gostar de Attack on Titan. 😊
despedida,TCHAU,Até mais! Bons episódios pra você. Posso recomendar mais.
episodios,One piece acabou?,"Não, One Piece ainda está em exibição. Posso recomendar mais."
despedida,tchau?,Até mais! Bons episódios pra você.
curiosidade,Qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. Curte esse tipo?
recomendacao,mano quero um anime triste,Your Lie in April costuma emocionar bastante. Posso recomendar mais.
recomendacao,me recomenda um anime de ação?,Você pode gostar de Attack on Titan.
poderes,mano qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. 😊
saudacao,eae,Fala! Curte anime também?
poderes,o que é bankai??,Bankai é a forma avançada da espada dos shinigamis em Bleach. 😊
poderes,qual o poder do Goku?,Claro! Goku utiliza o Ki e diversas transformações Saiyajin.
personagem,mano quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. 😊
curiosidade,mano quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. Posso recomendar mais.
personagem,quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto.
poderes,o que é bankai??,Bankai é a forma avançada da espada dos shinigamis em Bleach. Curte esse tipo?
comparacao,Naruto é melhor que one piece?,Isso varia muito do gosto de cada fã. 😊
personagem,mano quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Curte esse tipo?
recomendacao,me responde aí: me recomenda um anime de ação,Você pode gostar de Attack on Titan. Curte esse tipo?
personagem,quem é o Naruto??,Claro! Naruto Uzumaki é o protagonista do anime Naruto.
comparacao,Naruto é melhor que one piece?,Isso varia muito do gosto de cada fã.
comparacao,Naruto é melhor que One Piece??,Isso varia muito do gosto de cada fã. 😊
comparacao,QUAL ANIME É MAIS FAMOSO?,One Piece e Dragon Ball estão entre os mais populares. 😊
curiosidade,mano quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. 😊
personagem,QUEM É O NARUTO?,Claro! Naruto Uzumaki é o protagonista do anime Naruto.
personagem,me responde aí: quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Curte esse tipo?
poderes,mano o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. Posso recomendar mais.
saudacao,eae,Fala! Curte anime também? 😊
personagem,quem é o Gojo??,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. Posso recomendar mais.
recomendacao,mano anime engraçado,Claro! Spy x Family é uma ótima escolha.
poderes,Qual o poder do goku?,Goku utiliza o Ki e diversas transformações Saiyajin. 😊
despedida,me responde aí: tchau,Até mais! Bons episódios pra você.
saudacao,bom dia?,Bom dia! Quer conversar sobre qual anime?
episodios,me responde aí: quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. Curte esse tipo?
personagem,me responde aí: quem é o Levi?,Claro! Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
poderes,me responde aí: o que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha. 😊
episodios,mano One Piece acabou?,"Não, One Piece ainda está em exibição. Posso recomendar mais."
poderes,O que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach.
episodios,Quantos episódios tem naruto?,Naruto clássico possui 220 episódios.
comparacao,me responde aí: qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares.
saudacao,Bom dia,Bom dia! Quer conversar sobre qual anime? Posso recomendar mais.
poderes,O que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. Curte esse tipo?
comparacao,mano quem vence Goku ou Naruto?,Depende das regras da comparação e do universo. Posso recomendar mais.
curiosidade,qual anime mais longo??,Sazae-san é considerado o anime mais longo da história. Curte esse tipo?
personagem,Quem é o naruto?,Naruto Uzumaki é o protagonista do anime Naruto. 😊
recomendacao,mano anime engraçado,Spy x Family é uma ótima escolha. 😊
despedida,Tchau,Claro! Até mais! Bons episódios pra você.
comparacao,quem vence Goku ou Naruto?,Depende das regras da comparação e do universo.
poderes,O QUE É SHARINGAN?,Sharingan é uma habilidade ocular do clã Uchiha. 😊
recomendacao,ANIME ENGRAÇADO,Spy x Family é uma ótima escolha. 😊
recomendacao,ANIME ENGRAÇADO,Spy x Family é uma ótima escolha. 😊
episodios,mano quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes.
despedida,me responde aí: falou,Claro! Falou! Depois voltamos ao mundo dos animes.
poderes,QUAL O PODER DO GOKU?,Goku utiliza o Ki e diversas transformações Saiyajin. Posso recomendar mais.
saudacao,OI,Oi! Como posso ajudar sobre animes hoje?
comparacao,qual anime é mais famoso??,One Piece e Dragon Ball estão entre os mais populares. Posso recomendar mais.
recomendacao,me recomenda um anime de ação?,Você pode gostar de Attack on Titan. Posso recomendar mais.
recomendacao,me recomenda um anime de ação,Você pode gostar de Attack on Titan. Curte esse tipo?
comparacao,Naruto é melhor que One Piece?,Isso varia muito do gosto de cada fã. Curte esse tipo?
personagem,quem é o Gojo??,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. Posso recomendar mais.
recomendacao,mano me recomenda um anime de ação,Você pode gostar de Attack on Titan.
episodios,quantos eps tem Demon Slayer??,Claro! Demon Slayer possui várias temporadas e filmes.
despedida,mano até logo,Até logo! Espero que encontre um anime incrível. Curte esse tipo?
despedida,mano falou,Claro! Falou! Depois voltamos ao mundo dos animes.
personagem,QUEM É O GOJO?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
comparacao,QUEM VENCE GOKU OU NARUTO?,Depende das regras da comparação e do universo. Curte esse tipo?
despedida,Até logo,Até logo! Espero que encontre um anime incrível. Posso recomendar mais.
saudacao,me responde aí: oi,Oi! Como posso ajudar sobre animes hoje?
despedida,tchau,Até mais! Bons episódios pra você. Curte esse tipo?
episodios,Quantos eps tem demon slayer?,Claro! Demon Slayer possui várias temporadas e filmes.
saudacao,bom dia,Bom dia! Quer conversar sobre qual anime? Curte esse tipo?
recomendacao,me responde aí: anime engraçado,Spy x Family é uma ótima escolha. 😊
despedida,ATÉ LOGO,Até logo! Espero que encontre um anime incrível. 😊
comparacao,me responde aí: qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares.
episodios,QUANTOS EPISÓDIOS TEM NARUTO?,Naruto clássico possui 220 episódios. Posso recomendar mais.
personagem,mano quem é o Levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
curiosidade,me responde aí: qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares. Curte esse tipo?
recomendacao,quero um anime triste?,Your Lie in April costuma emocionar bastante. 😊
personagem,mano quem é o Naruto?,Claro! Naruto Uzumaki é o protagonista do anime Naruto.
poderes,qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin.
episodios,mano One Piece acabou?,"Não, One Piece ainda está em exibição. Posso recomendar mais."
despedida,Tchau,Até mais! Bons episódios pra você. 😊
poderes,O que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. Posso recomendar mais.
personagem,mano quem é o Gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. Curte esse tipo?
episodios,ONE PIECE ACABOU?,"Não, One Piece ainda está em exibição."
despedida,falou?,Falou! Depois voltamos ao mundo dos animes. Curte esse tipo?
personagem,mano quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
despedida,mano até logo,Até logo! Espero que encontre um anime incrível. Curte esse tipo?
comparacao,mano Naruto é melhor que One Piece?,Isso varia muito do gosto de cada fã. Posso recomendar mais.
comparacao,quem vence Goku ou Naruto??,Depende das regras da comparação e do universo.
curiosidade,Quem criou naruto?,Naruto foi criado por Masashi Kishimoto. 😊
poderes,mano o que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha. Curte esse tipo?
comparacao,quem vence Goku ou Naruto?,Depende das regras da comparação e do universo. Curte esse tipo?
comparacao,mano Naruto é melhor que One Piece?,Isso varia muito do gosto de cada fã. Posso recomendar mais.
despedida,até logo?,Claro! Até logo! Espero que encontre um anime incrível.
recomendacao,ANIME ENGRAÇADO,Spy x Family é uma ótima escolha. 😊
personagem,quem é o Naruto?,Claro! Naruto Uzumaki é o protagonista do anime Naruto.
saudacao,me responde aí: oi,Claro! Oi! Como posso ajudar sobre animes hoje?
curiosidade,Qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. Curte esse tipo?
episodios,me responde aí: One Piece acabou?,"Não, One Piece ainda está em exibição."
recomendacao,Me recomenda um anime de ação,Você pode gostar de Attack on Titan.
saudacao,eae,Fala! Curte anime também? 😊
curiosidade,qual foi o primeiro anime??,Astro Boy foi um dos primeiros animes populares. 😊
episodios,quantos eps tem Demon Slayer??,Claro! Demon Slayer possui várias temporadas e filmes.
comparacao,mano quem vence Goku ou Naruto?,Claro! Depende das regras da comparação e do universo.
episodios,mano One Piece acabou?,"Claro! Não, One Piece ainda está em exibição."
personagem,QUEM É O LEVI?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. 😊
recomendacao,anime engraçado,Claro! Spy x Family é uma ótima escolha.
recomendacao,me recomenda um anime de ação,Claro! Você pode gostar de Attack on Titan.
curiosidade,mano qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. 😊
recomendacao,me responde aí: me recomenda um anime de ação,Você pode gostar de Attack on Titan.
poderes,me responde aí: qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. Curte esse tipo?
curiosidade,QUAL ANIME MAIS LONGO?,Sazae-san é considerado o anime mais longo da história.
curiosidade,Quem criou naruto?,Naruto foi criado por Masashi Kishimoto. Curte esse tipo?
recomendacao,mano quero um anime triste,Your Lie in April costuma emocionar bastante. 😊
curiosidade,Quem criou naruto?,Claro! Naruto foi criado por Masashi Kishimoto.
recomendacao,me responde aí: me recomenda um anime de ação,Claro! Você pode gostar de Attack on Titan.
curiosidade,Qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. 😊
poderes,o que é sharingan??,Sharingan é uma habilidade ocular do clã Uchiha. 😊
comparacao,Naruto é melhor que One Piece?,Claro! Isso varia muito do gosto de cada fã.
curiosidade,quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. Curte esse tipo?
recomendacao,me responde aí: me recomenda um anime de ação,Você pode gostar de Attack on Titan. Curte esse tipo?
despedida,Falou,Falou! Depois voltamos ao mundo dos animes. Curte esse tipo?
saudacao,oi?,Claro! Oi! Como posso ajudar sobre animes hoje?
saudacao,bom dia,Bom dia! Quer conversar sobre qual anime? Curte esse tipo?
despedida,Até logo,Até logo! Espero que encontre um anime incrível. 😊
episodios,mano One Piece acabou?,"Não, One Piece ainda está em exibição. 😊"
poderes,qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. Posso recomendar mais.
saudacao,mano bom dia,Bom dia! Quer conversar sobre qual anime? Curte esse tipo?
personagem,quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
despedida,falou,Falou! Depois voltamos ao mundo dos animes. 😊
comparacao,me responde aí: Naruto é melhor que One Piece?,Isso varia muito do gosto de cada fã. 😊
personagem,quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. 😊
poderes,mano o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. Curte esse tipo?
personagem,mano quem é o Levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. 😊
comparacao,qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
saudacao,OI,Oi! Como posso ajudar sobre animes hoje? 😊
personagem,Quem é o levi?,Claro! Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
curiosidade,qual anime mais longo??,Sazae-san é considerado o anime mais longo da história.
despedida,me responde aí: falou,Falou! Depois voltamos ao mundo dos animes.
comparacao,Naruto é melhor que One Piece??,Isso varia muito do gosto de cada fã. 😊
saudacao,me responde aí: bom dia,Claro! Bom dia! Quer conversar sobre qual anime?
recomendacao,ANIME ENGRAÇADO,Spy x Family é uma ótima escolha. Curte esse tipo?
curiosidade,me responde aí: qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares. 😊
comparacao,qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. 😊
despedida,mano tchau,Até mais! Bons episódios pra você. Curte esse tipo?
saudacao,me responde aí: eae,Fala! Curte anime também?
poderes,o que é sharingan??,Sharingan é uma habilidade ocular do clã Uchiha. 😊
saudacao,me responde aí: oi,Oi! Como posso ajudar sobre animes hoje?
episodios,mano quantos episódios tem Naruto?,Claro! Naruto clássico possui 220 episódios.
recomendacao,me responde aí: me recomenda um anime de ação,Você pode gostar de Attack on Titan. Posso recomendar mais.
recomendacao,mano quero um anime triste,Your Lie in April costuma emocionar bastante.
comparacao,qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
recomendacao,quero um anime triste,Your Lie in April costuma emocionar bastante. Curte esse tipo?
recomendacao,ME RECOMENDA UM ANIME DE AÇÃO,Você pode gostar de Attack on Titan. Posso recomendar mais.
episodios,Quantos episódios tem naruto?,Naruto clássico possui 220 episódios.
poderes,mano qual o poder do Goku?,Claro! Goku utiliza o Ki e diversas transformações Saiyajin.
recomendacao,mano me recomenda um anime de ação,Você pode gostar de Attack on Titan. Posso recomendar mais.
personagem,Quem é o naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
saudacao,eae,Claro! Fala! Curte anime também?
curiosidade,qual anime mais longo??,Sazae-san é considerado o anime mais longo da história. Curte esse tipo?
poderes,me responde aí: qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. Curte esse tipo?
saudacao,eae?,Fala! Curte anime também?
recomendacao,anime engraçado,Spy x Family é uma ótima escolha. Curte esse tipo?
episodios,mano quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes.
saudacao,bom dia,Bom dia! Quer conversar sobre qual anime?
recomendacao,me recomenda um anime de ação?,Você pode gostar de Attack on Titan.
curiosidade,qual foi o primeiro anime?,Claro! Astro Boy foi um dos primeiros animes populares.
despedida,Tchau,Até mais! Bons episódios pra você. Posso recomendar mais.
recomendacao,me recomenda um anime de ação,Você pode gostar de Attack on Titan. 😊
saudacao,oi,Oi! Como posso ajudar sobre animes hoje? 😊
curiosidade,qual foi o primeiro anime??,Astro Boy foi um dos primeiros animes populares. Posso recomendar mais.
poderes,O que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach.
saudacao,mano bom dia,Bom dia! Quer conversar sobre qual anime? Curte esse tipo?
poderes,o que é sharingan?,Claro! Sharingan é uma habilidade ocular do clã Uchiha.
saudacao,bom dia?,Bom dia! Quer conversar sobre qual anime? 😊
poderes,QUAL O PODER DO GOKU?,Goku utiliza o Ki e diversas transformações Saiyajin. 😊
